assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction
2281,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand; Nd means not done,B,,,,,,,CHO,
2282,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,F,,,,,,,,
2283,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand; Not tested,F,,,,,,,,
2284,13481,Antagonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,F,,,,,,,,
2285,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [125 I]DOI as radioligand,B,,,,,,,,
2286,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,B,,,,,,,,
2287,14755,Binding activity against cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand.,B,,,,,,,,
2288,16441,Binding affinity against 5-hydroxytryptamine 2A receptor in humans,B,,,,,,,,
2289,14744,Binding affinity against the cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand,B,,,,,,,,
2290,16659,Binding affinity for displacement of [3H]ketanserin to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,,,,,,,CHO,
2291,3307,Binding affinity of compound to human 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2292,6857,Affinity for human 5-hydroxytryptamine 2A receptor expressed in mammalian cell line,B,,,Homo sapiens,9606.0,,,,
2293,5635,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand.,B,,,,,,,,
2294,4234,Binding affinity to cloned human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,,,,
2295,15527,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,B,,,,,,,,
2296,6588,Binding affinity towards human 5-hydroxytryptamine 2A receptor by the displacement of [3H]ketanserin radioligand from the cloned receptor expressed in CHO cells,B,,,,,,,CHO,
2297,13631,Binding affinity towards human 5-HT2A receptor in BEK cells,B,,,,,,,,
2298,17723,Binding affinity towards human serotonin 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2299,14770,Binding affinity for recombinant human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,B,,,,,,,,
2300,16293,Binding affinity for human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,,,,
2301,16209,Binding affinity towards human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,B,,,,,,,,
2302,12469,Binding affinity was measured on 5-hydroxytryptamine 2A receptor in GF6 cells transfected with human 5-HT2A gene labeled with [3H]ketanserin,B,,,,,,,,
2303,15363,Compound was tested for the displacement of [125I]-DOI from clone human 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2304,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2305,16441,"Tested on genetically transfected COS7 cell membranes selectively expressing human 5-hydroxytryptamine 2A receptor, using [3H]ketanserin as radioligand",B,,,,,,,,
2306,8,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in human using [3H]ketanserin as radioligand,B,,,,,,,,
2307,4176,In vitro binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells was determined using [3H]ketanserin as radioligand,B,,,,,,,HEK293,
2308,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2309,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,,,,,,
2310,17200,Inhibitory constant determined against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,Homo sapiens,9606.0,,,,
2311,4013,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,,,CHO,
2312,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2313,5088,Displacement of [3H]DOB from human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,,,,
2314,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]DOB as labeled ligand; binding data not obtained,B,,,,,,,,
2315,5088,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,,,,
2316,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand,B,,,,,,,,
2317,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,B,,,,,,,,
2318,9786,Ability to displace 0.75 nM [3H]ketanserin in 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenate,B,,,,,,,,
2319,9205,Ability to inhibit [3H]spiperone binding to 5-hydroxytryptamine 2 receptor determined in rat,B,,,Rattus norvegicus,10116.0,,,,
2320,11257,Affinity on 5-hydroxytryptamine 2 receptor labeled by [125I]DOI,B,,,,,,,,
2321,9362,Affinity towards [3H]- DOB -labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,B,,,,,,,,
2322,9362,Affinity towards [3H]- ketanserin-labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,B,,,,,,,,
2323,10590,Inhibition of 5-hydroxytryptamine 2 induced vasoconstriction of rat caudal artery.,B,,,,,,,,
2324,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,B,,,,,,,,
2325,13050,Binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortex using [125]-(R)-DOI as radioligand,B,,,,,,,,
2326,11624,Binding affinity against 5-hydroxytryptamine 2 receptor in rat using [3H]ketanserin as radioligand,B,,,,,,,,
2327,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,B,,,,,,,,
2328,10330,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,B,,,,,,,,
2329,10062,Binding affinity at rat 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,B,,,,,,,,
2330,11642,Binding affinity determined in radioreceptor binding assay by using [3H]ketanserin radioligand against 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2331,10062,Binding affinity determined in radioreceptor binding assay by using [3H]ketanserin radioligand against 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2332,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,In vitro,,,,,,,
2333,12280,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,,,,
2334,4101,Binding affinity for 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]ketanserin,B,,,Rattus norvegicus,10116.0,,,,
2335,10062,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2336,11147,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]DOB as,B,,,,,,,,
2337,2395,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,B,,,Rattus norvegicus,10116.0,,,CHO-K1,
2338,2395,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,B,,,Rattus norvegicus,10116.0,,,CHO-K1,
2339,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand,B,,,Rattus norvegicus,10116.0,,,,
2340,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand.,B,,,,,,,,
2341,9098,Binding affinity to 5-hydroxytryptamine 2 receptor of rat cortical membranes using [3H]- DOB; ND means no data.,B,,,Rattus norvegicus,10116.0,,,,
2342,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2343,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,B,,,,,,,,
2344,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand in rat frontal cortex",B,,,,,,,,
2345,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand in rat frontal cortex,B,,,,,,,,
2346,9098,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,B,,,,,,,,
2347,3070,Affinity for 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,,,,
2348,9547,Binding affinity towards serotonin 5-hydroxytryptamine 2 receptor of rat determined using 0.5 nM of [3H]ketanserin in binding assay,B,,,,,,,,
2349,10444,Binding affinity was determined against 5-hydroxytryptamine 2 receptor from male Sprague-Dawley rat brain.,B,,,,,,,,
2350,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor from rat tissue homogenate,B,,,,,,,,
2351,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor rat tissue homogenate,B,,,,,,,,
2352,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vitro),B,,,,,,,,
2353,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vivo),B,In vivo,,,,,,,
2354,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat brain,B,,,,,,Brain,,
2355,2797,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2 receptor from rat,B,,,,,,,,
2356,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,B,,,,,,,,
2357,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,B,,,,,,,,
2358,10752,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.,B,,,,,,Frontal cortex,,
2359,1185,Ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2360,1185,Compound was evaluated for its ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2361,11624,Binding affinity against 5-Hydroxy tryptamine 2 (5-hydroxytryptamine 2)receptor,B,,,Rattus norvegicus,10116.0,,,,
2362,1344,Compound was evaluated for its binding affinity to 5-hydroxytryptamine 2 receptor in rat cortex using [3H]ketanserin radioligand assay,B,,,,,,,,
2363,15453,Binding affinity against 5-hydroxytryptamine 2 receptor in rat striatum using [3H]-RP62203,B,,,Rattus norvegicus,10116.0,,Striatum,,
2364,11662,"Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand",B,,,,,,,,
2365,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",B,,,,,,,,
2366,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2367,9069,Evaluated for binding activity against [3H]ketanserin as radioligand for 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2368,8814,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortical membrane homogenates,B,,,Rattus norvegicus,10116.0,,,,
2369,8908,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat cortex,B,,,Rattus norvegicus,10116.0,,,,
2370,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,B,,,,,,,,
2371,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand,B,,,,,,,,
2372,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand; ND means no data.,B,,,,,,,,
2373,9098,Evaluated for the binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.,B,,,,,,,,
2374,9098,Binding affinity to 5-hydroxytryptamine 2 receptor in rat frontal cortical membranes by [3H]- KET displacement.,B,,,,,,,,
2375,9098,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand.;ND is not determined,B,,,,,,,,
2376,9098,Evaluated for the binding affinity to rat frontal cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- KET as a radioligand;ND means no data,B,,,,,,,,
2377,9161,In vitro binding affinity at 5-hydroxytryptamine 2 receptor in rat cortical tissue by [3H]spiperone displacement; No data.,B,,,,,,,,
2378,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 165 to 263,B,,,,,,,,
2379,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 2.4 to 5.3,B,,,,,,,,
2380,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue.,B,,,,,,,,
2381,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 140 to 980,B,,,,,,,,
2382,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.; value may range from 76 to 299,B,,,,,,,,
2383,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]-Spiperone as the radioligand in rat cortical tissue; value may range from 12 to 66,B,,,,,,,,
2384,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 136 to 220,B,,,,,,,,
2385,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 197 to 341,B,,,,,,,,
2386,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 23 to 187,B,,,,,,,,
2387,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 29 to 132,B,,,,,,,,
2388,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue; value may range from 6 to 75,B,,,,,,,,
2389,12094,In vitro binding affinity on 5-hydroxytryptamine 2 receptor is inhibition of binding of [125I]- I-LSD to P11 cells,B,,,,,,,,
2390,12018,In vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat striatal membranes by [3H]ketanserin displacement.,B,,,,,,,,
2391,10394,Inhibitory activity against 5-hydroxytryptamine 2 receptor in rat cortical membranes using [3H]ketanserin as a radioligand,B,,,,,,,,
2392,15260,Inhibitory activity against rat cortical 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2393,11624,Inhibitory constant against 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,,,,
2394,13654,Percentage specific displacement of radioligand [3H]-ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2395,9541,Potency to displace [3H]- Spiperone from 5-hydroxytryptamine 2 receptor in rat striatum,B,,,,,,,,
2396,11933,Tested for binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortical regions using [3H]ketanserin as radioligand,B,,,,,,,,
2397,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,,,,,
2398,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; NA means Not Active,B,,,,,,,,
2399,15538,Tested for binding affinity by measuring displacement of [3H]ketanserin from rat serotonin 5-hydroxytryptamine 2 receptor in rat cortex; not determined,B,,,,,,,,
2400,8841,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2401,1455,Binding affinity to 5-hydroxytryptamine 2 receptor using [3H]ketanserin radioligand assay.,B,,,,,,,,
2402,1455,Tested for its binding affinity to Tested for its binding affinity to 5-hydroxytryptamine 2 receptor using [3H]-ketanserin radioligand assay using [3H]-ketanserin radioligand assay,B,,,,,,,,
2403,11752,The ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat whole brain,B,,,,,,,,
2404,11642,The binding affinity was measured on 5-hydroxytryptamine 2 receptor in rat brain tissue,B,,,,,,Brain,,
2405,12092,The binding affinity was measured on 5-hydroxytryptamine 2 receptor using [3H]- spiperone as radioligand.,B,,,,,,,,
2406,3967,Binding affinity at 5-hydroxytryptamine 2 receptor from striata wistar rats by [3H]ketanserin displacement.,B,,,,,,,,
2407,12771,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,,,,
2408,11642,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [3H]ketanserin radioligand in rat cerebral cortex,B,,,,,,,,
2409,11628,The compound was tested in vitro for binding affinity towards 5-hydroxytryptamine 2 receptor by displacing [125]I-LSD radioligand,B,,,,,,,,
2410,13654,Percentage specific displacement of radioligand [3H]ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,,,,,
2411,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,,,,
2412,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,,,,
2413,11200,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,In vivo,,,,,,,
2414,11200,"In vivo inhibitory activity of 10 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,In vivo,,,,,,,
2415,11200,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 1 hr after oral administration",F,In vivo,,,,,,,
2416,11200,"In vivo inhibitory activity of 3 mg/kg compound in rats against elevation of BP caused by 5-HT (300 ug/kg, iv) through 5-hydroxytryptamine 2 receptor 3h after oral administration",F,In vivo,,,,,,,
2417,15436,Affinity for 5-hydroxytryptamine 2A receptor in rat brain cortex by ability to displace [3H]ketanserin,B,,,,,,Brain,,
2418,15436,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,B,,,Rattus norvegicus,10116.0,,,,
2419,14025,Affinity pKi for 5-hydroxytryptamine 2A receptor was measured in rat cortex homogenates,B,,,,,,,,
2420,4342,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor was determined,B,,,,,,,,
2421,13735,Displacement of [3H]ketanserin from 5-HT2A receptor of rat frontal cortex,B,,,Rattus norvegicus,10116.0,,,,
2422,5816,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,Rattus norvegicus,10116.0,,,,
2423,14287,Binding affinity was evaluated in vitro by displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor on rat cortical membrane,B,,,,,,,,
2424,15738,In vitro affinity against serotonin ( 5-hydroxytryptamine 2A receptor ) receptor,B,,,,,,,,
2425,15738,In vitro affinity against serotonin 5-hydroxytryptamine 2A receptor,B,,,Rattus norvegicus,10116.0,,,,
2426,15026,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]-ketanserin as radioligand,B,,,,,,,,
2427,16647,Half-maximal inhibition of [3H]- Ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex homogenate,B,,,,,,,,
2428,16647,Half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat tissue homogenate,B,,,,,,,,
2429,13345,Displacement of [3H]-ketanserin from rat brain 5-hydroxytryptamine 2A receptor,B,,,Rattus norvegicus,10116.0,,,,
2430,1543,Inhibition constant for in vitro inhibition of [3H]ketanserin binding to rat frontal cortex membranes 5-hydroxytryptamine 2A receptor,B,,,,,,,,Membranes
2431,12444,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor rat frontal cortex membrane,B,,,,,,,,
2432,16404,Inhibitory constant on 5-hydroxytryptamine 2A receptor of Rat frontal cortex,B,,,,,,,,
2433,16404,Inhibitory constant on human 5-hydroxytryptamine 2A receptor transfected in to CHO cells,B,,,,,,,CHO,
2434,15577,Kinetic inhibition constant evaluated by measuring serotonergic activity,B,,,,,,,,
2435,15577,Serotonergic activity of the compound.,B,,,,,,,,
2436,2495,Tested in vitro for its ability to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat frontal cortex membranes,B,,,,,,,,
2437,15042,The binding affinity was evaluated on 5-hydroxytryptamine 2A receptor expressed in rat cortex by using [3H]ketanserin as radioligand.,B,,,Rattus norvegicus,10116.0,,,,
2438,15026,In vitro ability to displace [3H]ketanserin binding from 5-hydroxytryptamine 2A receptor in rat striatal membrane.,B,,,,,,,,
2439,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,,,,
2440,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,,,,
2441,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,F,,,Rattus norvegicus,10116.0,,,,
2442,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,B,,,,,,,,
2443,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand.,B,,,,,,,,
2444,4820,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2445,6736,Binding affinity against serotonin 5-hydroxytryptamine 2A receptor was determined using human [125I]-eotaxin,B,,,,,,,,
2446,5163,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.000001 mol/L,B,,,,,,,,
2447,5163,Binding affinity towards 5-hydroxytryptamine 2A receptor was determined at a concentration of 0.00001 mol/L,B,,,,,,,,
2448,6011,Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration,B,,,,,,,,
2449,14294,Percent inhibition against 5-hydroxytryptamine 2A receptor using [3H]ketanserin at 1 uM,B,,,Homo sapiens,9606.0,,,,
2450,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2451,17066,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2452,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2A receptor; inactive at 10 uM,B,,,,,,,,
2453,6736,Inhibition of [125I]-eotaxin binding to serotonin 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2454,5163,Affinity for 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2455,16911,Binding affinity was performed using [3H]ketanserin as the radioligand and stably transfected NIH3T3 cells expressing the 5-hydroxytryptamine 2A receptor (GF-62 cells).,B,,,,,,,NIH3T3,
2456,6841,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin,B,,,,,,,,
2457,6119,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand.,B,,,,,,,,
2458,3962,Compound was evaluated for its binding against 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2459,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2A receptor was determined,B,,,,,,,,
2460,4373,Binding affinity relative to indolopiperidine (compound 1)for 5-hydroxytryptamine 2A receptor was determined,B,,,,,,,,
2461,3962,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,,,,,,
2462,1633,Binding affinity towards 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin,B,,,,,,,,
2463,4373,Binding affinity for 5-hydroxytryptamine 2A receptor was determined,B,,,,,,,,
2464,6576,Binding affinity towards serotonin 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2465,4687,Evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2466,16946,Ability to displace [3H]-ketanserin from 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2467,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2468,3032,In vitro binding affinity against 5-hydroxytryptamine 2A receptor in CHO cells,B,,,Mus musculus,10090.0,,,CHO,
2469,16655,Inhibition of ketanserin binding to 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2470,13964,Binding affinity at 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2471,16989,Binding affinity towards Serotonin 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2472,16117,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor was determined,B,,,,,,,,
2473,16700,The binding affinity towards 5-hydroxytryptamine 2A receptor; No affinity,B,,,,,,,,
2474,3269,Affinity against 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2475,1274,Binding affinity against 5-Hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,,,,
2476,1317,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using radioligand binding assay,B,,,,,,,,
2477,12146,Tested against 5-hydroxytryptamine 2A receptor,B,,,,,,,,
2478,12652,Binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,,,,,
2479,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H] ketanserin,B,,,,,,,,
2480,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor agonist [125I]- - (+/-)DOI,B,,,,,,,,
2481,12652,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 2A receptor - 5-hydroxytryptamine 2C receptor antagonist [3H]- ketanserin,B,,,,,,,,
2482,16647,Selectivity ratio towards 5-hydroxytryptamine 2A receptor to Dopamine receptor D2 (5-HT2A/D2 ),B,,,,,,,,
2483,15851,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND means no data,B,,,Homo sapiens,9606.0,,,HEK293,
2484,6857,Functional activity against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader,F,,,Homo sapiens,9606.0,,,CHO,
2485,3805,In vitro binding affinity against human 5-HT2B receptor at a concentration of 100 (nM),B,,,,,,,,
2486,6491,Affinity towards human 5-hydroxytryptamine 2B serotonin receptor,B,,,Homo sapiens,9606.0,,,,
2487,14093,Agonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT radioligand,F,,,,,,,,
2488,13481,Agonistic activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]-5-HT as radioligand,F,,,,,,,,
2489,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand,F,,,,,,,,
2490,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]- rauwolscine radioligand; Not tested,F,,,,,,,,
2491,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine radioligand,F,,,,,,,,
